,utt,관광지 추천,날씨 묻기,맛집 추천,숙소 추천,인사,카페 추천,활동 추천
1140,혹시 부산 전망 좋은 카페 추천해줘,0,0,0,0,0,1,0
187,근데 부산 관광지 알려줘,1,0,0,0,0,0,0
1588,있잖아 부산 감성적인 곳 추천해주세요,0,0,1,0,0,0,0
517,부산 분위기 있는 카페 알려줘,0,0,0,0,0,1,0
2777,부산 있잖아 친절한 곳 부탁해,0,0,1,0,0,0,0
1625,부산 예쁜 곳 음 추천해 주실 수 있나요?,0,0,1,0,0,0,0
1135,부산 가족과 할만한 것 근데 추천해줘,0,0,0,0,0,0,1
3601,부산 가까운 카페 있잖아 추천해주세요,0,0,0,0,0,1,0
2102,부산 뷰가 좋은 숙소 알려줄 수 아 있나요?,0,0,0,1,0,0,0
1727,음 부산 조용한 곳 부탁드려요,0,0,1,0,0,0,0
1827,부산 근데 조용한 곳 추천해줘,0,0,1,0,0,0,0
560,부산 친구랑 놀기 좋은 곳 알려주세요,1,0,0,0,0,0,0
1232,부산 밖에 있잖아 알려줘,0,1,0,0,0,0,0
2236,부산 친절한 숙소 추천해 주실 음 수 있나요?,0,0,0,1,0,0,0
2334,근데 부산 분위기 있는 숙소 부탁해,0,0,0,1,0,0,0
2040,부산 예쁜 곳 어 추천해 주실 수 있나요?,0,0,1,0,0,0,0
1452,부산 흠 예쁜 곳 알려줘,0,0,1,0,0,0,0
398,부산 액티비티 음 알려주세요,0,0,0,0,0,0,1
1142,혹시 부산 메뉴가 다양한 카페 추천해줘,0,0,0,0,0,1,0
909,부산 주차하기 편한 곳 혹시 어디야?,0,0,1,0,0,0,0
1098,부산은 흠 주차하기 편한 곳 좋아?,0,0,1,0,0,0,0
1993,부산 어 조용한 곳 추천해줘,0,0,1,0,0,0,0
169,있잖아 부산 관광지 추천해주세요,1,0,0,0,0,0,0
399,아 부산 액티비티 알려줄 수 있나요?,0,0,0,0,0,0,1
2580,혹시 부산 웨이팅 없는 곳 부탁할게,0,0,1,0,0,0,0
2542,부산 아 가까운 곳 부탁드려요,0,0,1,0,0,0,0
1650,부산 근데 예쁜 곳,0,0,1,0,0,0,0
366,부산 있잖아 활동 알려줄 수 있나요?,0,0,0,0,0,0,1
453,부산 데이트하기 좋은 곳 어디야?,0,0,1,0,0,0,0
1719,음 부산 감성적인 곳 부탁드려요,0,0,1,0,0,0,0
13,부산 날씨,0,1,0,0,0,0,0
3134,부산은 있잖아 친구랑 놀기 좋은 곳 좋아?,1,0,0,0,0,0,0
581,부산 웨이팅 없는 곳 부탁드려요,0,0,1,0,0,0,0
2623,부산 근데 주차하기 편한 곳 추천해주세요,0,0,1,0,0,0,0
2609,흠 부산 가까운 곳 추천해주세요,0,0,1,0,0,0,0
1351,근데 부산 추위 부탁할게,0,1,0,0,0,0,0
3140,부산은 있잖아 부모님과 가기 좋은 곳 좋아?,0,0,1,0,0,0,0
854,어 부산 감성적인 곳 알려줘,0,0,1,0,0,0,0
2918,부산 가까운 곳 음 부탁드려요,0,0,1,0,0,0,0
3274,흠 부산 체험할 것 부탁해,0,0,0,0,0,0,1
3689,부산 가까운 카페 흠 알려줘,0,0,0,0,0,1,0
2813,부산 예쁜 곳 어 추천해주세요,0,0,1,0,0,0,0
3502,부산 있잖아 전망 좋은 카페 부탁드려요,0,0,0,0,0,1,0
1837,부산 조용한 곳 음 추천해주세요,0,0,1,0,0,0,0
1386,부산 저기 부모님과 가기 좋은 곳,0,0,1,0,0,0,0
3088,부산은 저기 주차하기 편한 곳 좋아?,0,0,1,0,0,0,0
1957,있잖아 부산 가까운 곳 부탁할게,0,0,1,0,0,0,0
2095,부산 유명한 숙소 알려줄 음 수 있나요?,0,0,0,1,0,0,0
1944,어 부산 분위기 있는 곳 부탁해,0,0,1,0,0,0,0
3709,부산 음료 맛있는 카페 아 부탁드려요,0,0,0,0,0,1,0
1334,부산 더위 음 부탁드려요,0,1,0,0,0,0,0
2270,부산 친절한 숙소 아 알려주세요,0,0,0,1,0,0,0
2019,부산 아 예쁜 곳 추천해주세요,0,0,1,0,0,0,0
2073,부산 아 주차공간이 넓은 숙소 알려주세요,0,0,0,1,0,0,0
2970,부산 음 감성적인 곳 추천해 주실 수 있나요?,0,0,1,0,0,0,0
546,부산 더위 추천해주세요,0,1,0,0,0,0,0
804,부산 음료 맛있는 카페 부탁해,0,0,0,0,0,1,0
40,부산 맛집 알려줄 수 있나요?,0,0,1,0,0,0,0
194,근데 부산 관광지 부탁할게,1,0,0,0,0,0,0
1322,부산 어 더위 알려줘,0,1,0,0,0,0,0
943,있잖아 부산 깨끗한 숙소 알려줘,0,0,0,1,0,0,0
2159,부산 깨끗한 숙소 아 부탁해,0,0,0,1,0,0,0
1938,부산 음 웨이팅 없는 곳 부탁드려요,0,0,1,0,0,0,0
45,부산 맛집 추천해 주실 수 있나요?,0,0,1,0,0,0,0
2303,부산 흠 유명한 숙소 알려줘,0,0,0,1,0,0,0
2607,흠 부산 분위기 있는 곳 추천해주세요,0,0,1,0,0,0,0
403,부산 액티비티 알려줄 수 근데 있나요?,0,0,0,0,0,0,1
965,혹시 부산 친절한 숙소 추천 좀,0,0,0,1,0,0,0
870,부산 있잖아 데이트하기 좋은 곳 알려줘,0,0,1,0,0,0,0
1819,부산 근데 감성적인 곳 추천해줘,0,0,1,0,0,0,0
725,부산 신기한 체험 알려줘,0,0,0,0,0,0,1
664,부산 뷰가 좋은 숙소 부탁할게,0,0,0,1,0,0,0
2005,아 부산 감성적인 곳 추천해주세요,0,0,1,0,0,0,0
3663,부산 커피 전문점 알려줄 아 수 있나요?,0,0,0,0,0,1,0
1126,부산 저기 친구랑 할만한 것 추천해줘,0,0,0,0,0,0,1
857,어 부산 웨이팅 없는 곳 알려줘,0,0,1,0,0,0,0
2343,부산 깨끗한 숙소 어 부탁해,0,0,0,1,0,0,0
3738,부산 커피 전문점 있잖아 추천해줘,0,0,0,0,0,1,0
2597,부산 감성적인 곳 음 추천해줘,0,0,1,0,0,0,0
3377,부산 음 일일 체험 추천해 주실 수 있나요?,0,0,0,0,0,0,1
726,부산 일일 체험 알려줘,0,0,0,0,0,0,1
3273,부산 가족과 할만한 것 혹시 부탁드려요,0,0,0,0,0,0,1
3354,부산 아 체험할 것 추천해주세요,0,0,0,0,0,0,1
1359,부산 추위 아 부탁할게,0,1,0,0,0,0,0
1338,흠 부산 더위 부탁해,0,1,0,0,0,0,0
1030,음 부산 예쁜 곳 추천해줘,0,0,1,0,0,0,0
494,부산은 부모님과 가기 좋은 곳 좋아?,0,0,1,0,0,0,0
2608,흠 부산 감성적인 곳 추천해주세요,0,0,1,0,0,0,0
2152,부산 근데 깨끗한 숙소 부탁해,0,0,0,1,0,0,0
2231,아 부산 유명한 숙소 추천해 주실 수 있나요?,0,0,0,1,0,0,0
921,어 부산 부모님과 가기 좋은 곳 추천해줘,0,0,1,0,0,0,0
3755,부산 혹시 디저트 맛있는 곳 추천해주세요,0,0,1,0,0,0,0
2644,음 부산 조용한 곳 추천해 주실 수 있나요?,0,0,1,0,0,0,0
1995,부산 감성적인 곳 흠 추천해줘,0,0,1,0,0,0,0
3182,부산 혹시 친구랑 할만한 것 알려주세요,0,0,0,0,0,0,1
1041,부산 가까운 곳 저기 추천해줘,0,0,1,0,0,0,0
2826,부산 가까운 곳 근데 추천해 주실 수 있나요?,0,0,1,0,0,0,0
1776,부산 부모님과 가기 좋은 곳 음 부탁해,0,0,1,0,0,0,0
2108,흠 부산 분위기 있는 숙소 알려줘,0,0,0,1,0,0,0
1566,있잖아 부산 조용한 곳 추천해줘,0,0,1,0,0,0,0
2328,부산 뷰가 좋은 숙소 근데 부탁드려요,0,0,0,1,0,0,0
2594,부산 음 친절한 곳 추천해줘,0,0,1,0,0,0,0
3034,부산은 친구랑 놀기 좋은 곳 음 좋아?,1,0,0,0,0,0,0
2629,부산 분위기 있는 곳 흠 추천해주세요,0,0,1,0,0,0,0
3559,부산 분위기 있는 카페 음 부탁할게,0,0,0,0,0,1,0
3065,부산은 가까운 곳 근데 좋아?,0,0,1,0,0,0,0
349,음 부산은 어디가 좋아?,1,0,0,0,0,0,0
3267,부산 놀만한 것 혹시 부탁드려요,0,0,0,0,0,0,1
3192,음 부산 체험할 것 알려줄 수 있나요?,0,0,0,0,0,0,1
3142,부산은 분위기 있는 곳 흠 좋아?,0,0,1,0,0,0,0
2121,부산 주차공간이 넓은 숙소 있잖아 알려줘,0,0,0,1,0,0,0
280,혹시 부산 맛집 알려줄 수 있나요?,0,0,1,0,0,0,0
110,부산 근데 날씨 알려줘,0,1,0,0,0,0,0
1347,부산 추위 혹시 부탁해,0,1,0,0,0,0,0
2891,부산 혹시 감성적인 곳 알려줘,0,0,1,0,0,0,0
2704,부산 가까운 곳 아 알려줄 수 있나요?,0,0,1,0,0,0,0
2008,아 부산 웨이팅 없는 곳 추천해주세요,0,0,1,0,0,0,0
161,부산 있잖아 관광지 부탁해,1,0,0,0,0,0,0
2511,아 부산 데이트하기 좋은 곳 알려줘,0,0,1,0,0,0,0
1087,저기 부산은 예쁜 곳 좋아?,0,0,1,0,0,0,0
563,부산 예쁜 곳 알려주세요,0,0,1,0,0,0,0
1542,부산 어 예쁜 곳 부탁할게,0,0,1,0,0,0,0
1945,어 부산 감성적인 곳 부탁해,0,0,1,0,0,0,0
1683,부산 부모님과 가기 좋은 곳 어 알려주세요,0,0,1,0,0,0,0
2449,부산 어 웨이팅 없는 곳 알려주세요,0,0,1,0,0,0,0
37,부산 놀만한곳 추천해 주실 수 있나요?,1,0,0,0,0,0,0
2790,부산 아 친절한 곳 부탁할게,0,0,1,0,0,0,0
2338,부산 어 유명한 숙소 부탁해,0,0,0,1,0,0,0
2123,부산 뷰가 좋은 숙소 있잖아 알려줘,0,0,0,1,0,0,0
1508,부산 있잖아 감성적인 곳 부탁해,0,0,1,0,0,0,0
1502,음 부산 예쁜 곳 부탁해,0,0,1,0,0,0,0
2347,부산 주차공간이 넓은 숙소 어 부탁해,0,0,0,1,0,0,0
661,부산 주위가 조용한 숙소 부탁할게,0,0,0,1,0,0,0
2920,부산 예쁜 곳 음 부탁드려요,0,0,1,0,0,0,0
2670,어 부산 부모님과 가기 좋은 곳 알려주세요,0,0,1,0,0,0,0
1143,혹시 부산 가까운 카페 추천해줘,0,0,0,0,0,1,0
224,부산 저기 놀만한곳 부탁해,1,0,0,0,0,0,0
2543,부산 아 웨이팅 없는 곳 부탁드려요,0,0,1,0,0,0,0
1564,있잖아 부산 데이트하기 좋은 곳 추천해줘,0,0,1,0,0,0,0
1060,부산 혹시 맛있는 곳 어디야?,0,0,1,0,0,0,0
1925,부산 감성적인 곳 있잖아 알려줘,0,0,1,0,0,0,0
2694,부산 저기 분위기 있는 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
256,부산 맛집 어 부탁드려요,0,0,1,0,0,0,0
1421,저기 부산 웨이팅 없는 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
1291,아 부산 추위 알려주세요,0,1,0,0,0,0,0
3075,근데 부산은 가까운 곳 좋아?,0,0,1,0,0,0,0
2289,부산 깨끗한 숙소 알려줄 수 흠 있나요?,0,0,0,1,0,0,0
891,어 부산 부모님과 가기 좋은 곳 어디야?,0,0,1,0,0,0,0
941,부산 부모님과 가기 좋은 곳 아 추천해줘,0,0,1,0,0,0,0
1537,부산 어 분위기 있는 곳 부탁할게,0,0,1,0,0,0,0
3332,부산 음 신기한 체험 추천해줘,0,0,0,0,0,0,1
2985,흠 부산은 가까운 곳 좋아?,0,0,1,0,0,0,0
2619,부산 근데 감성적인 곳 추천해주세요,0,0,1,0,0,0,0
3768,부산 메뉴가 다양한 카페 저기 추천해주세요,0,0,0,0,0,1,0
555,부산 데이트하기 좋은 곳,0,0,1,0,0,0,0
2418,근데 부산 주차하기 편한 곳,0,0,1,0,0,0,0
534,부산 더위 부탁드려요,0,1,0,0,0,0,0
2348,부산 분위기 있는 숙소 어 부탁해,0,0,0,1,0,0,0
359,부산은 어디가 흠 좋아?,1,0,0,0,0,0,0
2215,부산 흠 깨끗한 숙소 추천해주세요,0,0,0,1,0,0,0
2030,부산 주차하기 편한 곳 혹시 추천해주세요,0,0,1,0,0,0,0
1363,아 부산 추위 추천해주세요,0,1,0,0,0,0,0
230,부산 어 놀만한곳 추천해줘,1,0,0,0,0,0,0
1986,부산 어 친구랑 놀기 좋은 곳 추천해줘,1,0,0,0,0,0,0
1730,부산 혹시 친구랑 놀기 좋은 곳 부탁드려요,1,0,0,0,0,0,0
7,부산 맛집 어디야?,0,0,1,0,0,0,0
3666,부산 음료 맛있는 카페 알려줄 아 수 있나요?,0,0,0,0,0,1,0
2584,혹시 부산 친절한 곳 부탁할게,0,0,1,0,0,0,0
1624,부산 가까운 곳 음 추천해 주실 수 있나요?,0,0,1,0,0,0,0
2455,부산 어 조용한 곳 알려주세요,0,0,1,0,0,0,0
3076,근데 부산은 웨이팅 없는 곳 좋아?,0,0,1,0,0,0,0
3750,근데 부산 전망 좋은 카페 추천해주세요,0,0,0,0,0,1,0
3155,저기 부산 일일 체험,0,0,0,0,0,0,1
968,혹시 부산 주차공간이 넓은 숙소 추천 좀,0,0,0,1,0,0,0
2350,어 부산 깨끗한 숙소 부탁할게,0,0,0,1,0,0,0
2249,부산 흠 친절한 숙소,0,0,0,1,0,0,0
1813,아 부산 예쁜 곳 추천해줘,0,0,1,0,0,0,0
3380,부산 체험할 것 음 추천해 주실 수 있나요?,0,0,0,0,0,0,1
551,부산 가까운 곳,0,0,1,0,0,0,0
2530,있잖아 부산 감성적인 곳 부탁드려요,0,0,1,0,0,0,0
2723,부산 웨이팅 없는 곳 알려줄 수 어 있나요?,0,0,1,0,0,0,0
1074,부산 가까운 곳 있잖아 어디야?,0,0,1,0,0,0,0
3460,부산 전망 좋은 카페 음 알려줄 수 있나요?,0,0,0,0,0,1,0
1120,부산 저기 체험할 것 추천해줘,0,0,0,0,0,0,1
2555,흠 부산 가까운 곳 부탁해,0,0,1,0,0,0,0
2794,부산 어 친절한 곳 추천해줘,0,0,1,0,0,0,0
1847,부산 가까운 곳 흠 추천해 주실 수 있나요?,0,0,1,0,0,0,0
3161,부산 흠 놀만한 것,0,0,0,0,0,0,1
3701,부산 아 음료 맛있는 카페 부탁드려요,0,0,0,0,0,1,0
1080,부산 부모님과 가기 좋은 곳 있잖아 어디야?,0,0,1,0,0,0,0
2746,부산 데이트하기 좋은 곳 혹시 알려줘,0,0,1,0,0,0,0
386,부산 아 활동 추천해주세요,0,0,0,0,0,0,1
3522,부산 음 커피 전문점 부탁해,0,0,0,0,0,1,0
318,있잖아 부산 맛집 부탁해,0,0,1,0,0,0,0
1219,부산 추위 알려줄 음 수 있나요?,0,1,0,0,0,0,0
3728,혹시 부산 메뉴가 다양한 카페 부탁할게,0,0,0,0,0,1,0
136,부산 날씨 음 부탁드려요,0,1,0,0,0,0,0
1316,어 부산 밖에 알려줘,0,1,0,0,0,0,0
3000,부산은 혹시 부모님과 가기 좋은 곳 좋아?,0,0,1,0,0,0,0
2894,부산 혹시 예쁜 곳 알려줘,0,0,1,0,0,0,0
3636,부산 아 전망 좋은 카페 알려주세요,0,0,0,0,0,1,0
1943,부산 음 조용한 곳 부탁드려요,0,0,1,0,0,0,0
2351,어 부산 친절한 숙소 부탁할게,0,0,0,1,0,0,0
1677,부산 친구랑 놀기 좋은 곳 어 알려주세요,1,0,0,0,0,0,0
262,부산 맛집 아 부탁할게,0,0,1,0,0,0,0
1672,부산 있잖아 데이트하기 좋은 곳 알려주세요,0,0,1,0,0,0,0
1781,근데 부산 가까운 곳 부탁할게,0,0,1,0,0,0,0
427,부산 액티비티 추천해 주실 수 저기 있나요?,0,0,0,0,0,0,1
171,부산 관광지 저기 추천해주세요,1,0,0,0,0,0,0
2181,부산 친절한 숙소 음 부탁할게,0,0,0,1,0,0,0
3,부산 관광지 어디야?,1,0,0,0,0,0,0
2854,부산 근데 분위기 있는 곳 알려주세요,0,0,1,0,0,0,0
3687,부산 분위기 있는 카페 흠 알려줘,0,0,0,0,0,1,0
1832,부산 웨이팅 없는 곳 음 추천해주세요,0,0,1,0,0,0,0
3151,부산은 조용한 곳 흠 좋아?,0,0,1,0,0,0,0
3492,아 부산 디저트 많은 곳 부탁드려요,0,0,0,0,0,1,0
181,부산 있잖아 관광지 알려주세요,1,0,0,0,0,0,0
1554,부산 데이트하기 좋은 곳 어 부탁할게,0,0,1,0,0,0,0
2841,어 부산 분위기 있는 곳,0,0,1,0,0,0,0
872,부산 있잖아 조용한 곳 알려줘,0,0,1,0,0,0,0
749,부산 신기한 체험 부탁할게,0,0,0,0,0,0,1
210,부산 혹시 놀만한곳 알려주세요,1,0,0,0,0,0,0
557,부산 조용한 곳,0,0,1,0,0,0,0
2276,어 부산 깨끗한 숙소 알려줄 수 있나요?,0,0,0,1,0,0,0
2930,부산 혹시 감성적인 곳 부탁해,0,0,1,0,0,0,0
724,부산 놀만한 것 알려줘,0,0,0,0,0,0,1
1206,혹시 부산 더위 알려줄 수 있나요?,0,1,0,0,0,0,0
3706,부산 커피 전문점 아 부탁드려요,0,0,0,0,0,1,0
1468,아 부산 감성적인 곳 부탁드려요,0,0,1,0,0,0,0
2438,음 부산 웨이팅 없는 곳 알려주세요,0,0,1,0,0,0,0
2161,부산 유명한 숙소 아 부탁해,0,0,0,1,0,0,0
1432,부산 가까운 곳 있잖아 알려줄 수 있나요?,0,0,1,0,0,0,0
2163,부산 주차공간이 넓은 숙소 아 부탁해,0,0,0,1,0,0,0
1379,부산 저기 감성적인 곳,0,0,1,0,0,0,0
203,부산 관광지 흠 추천해 주실 수 있나요?,1,0,0,0,0,0,0
1448,부산 흠 감성적인 곳 알려줘,0,0,1,0,0,0,0
1125,부산 저기 유명한 거 추천해줘,0,0,0,0,0,0,1
975,부산 혹시 주차공간이 넓은 숙소 추천 좀,0,0,0,1,0,0,0
372,부산 활동 흠 알려줘,0,0,0,0,0,0,1
2135,부산 흠 주차공간이 넓은 숙소 부탁드려요,0,0,0,1,0,0,0
1642,혹시 부산 데이트하기 좋은 곳,0,0,1,0,0,0,0
219,부산 놀만한곳 있잖아 알려줘,1,0,0,0,0,0,0
